Name/Date of birth,Appointed,End of time in post,Time in post,Matches,PPG
Arne Slot,01/07/2024,,557 days,86,2.01
Jürgen Klopp,08/10/2015,30/06/2024,3188 days,489,2.07
Brendan Rodgers,01/07/2012,04/10/2015,1190 days,166,1.77
