Name/Date of birth,Appointed,End of time in post,Time in post,Matches,W,D,L,PPG
Mikel Arteta ,22/12/2019,,06 years 18 days,319,196,54,69,2.01
Unai Emery,01/07/2018,29/11/2019,01 year 04 months 29 days,78,43,15,20,1.85
Arsène Wenger,01/10/1996,30/06/2018,21 years 08 months 30 days,1234,715,267,252,1.95
